//Zannino2010 et al. (2010) 
// Subjects=15
-30.99	-51.94	-10.62
-28.4	-87.72	17.6
40.18	-86.04	26.56

//Gerlach et al. (2002b) 
// Subjects=12
-44.04	12.3	21.84

//Perani et al. (1999; Exp1) 
// Subjects=11
-59.38	-48.51	-7.74
-65.67	-40.49	9.5

//Perani et al. (1999; Exp2) 
// Subjects=8
8.14	-98.96	23
10.02	-72.55	6.9
-11.77	-69.61	-6.46
-46.27	-58.27	1.97
-6.85	-60.78	41.88

//Devlin et al. (2005) 
// Subjects=12
28.98	-57.31	-6.66

//Gerlach et al. (2000) 
// Subjects=15
-59.78	-27.4	-34.47

//Gerlach et al. (2004) 
// Subjects=12
61.55	-61.68	-17.46
55.07	-61.7	-17.35

//Gorno-Tempini (2000) 
// Subjects=8
-57.07	-58.31	2.16

//Grossman et al. (2013) 
// Subjects=18
-50.72	-61.45	-8.85
-52.72	-58.08	4.3
-50.55	-68.92	3.09
-50.53	14.4	21.74
-46.29	20.38	16.6

//Mahon et al. (2009; sighted) 
// Subjects=7
-24.88	-42.32	-12.3
30.1	-33.18	-20.87

//Mahon et al. (2009; sighted) 
// Subjects=20
-24.88	-42.32	-12.3
30.3	-51.38	-8.98

//Mechelli et al. (2006) 
// Subjects=12
-29.19	-55.41	-14.29
35.59	-53.26	-17.85

//Moore et al. (1999) 
// Subjects=6
-3.04	-97.44	-6.1

//Moore et al. (1999) 
// Subjects=8
-40	-53.32	-14.32

//Anzellotti et al. (2011) 
// Subjects=11
-27.16	-41.03	-21.35
26.98	-48.72	-14.79
-55.47	-14.31	-32.48
-46.98	3.39	-41.1
-46.41	-62.6	-9.93
-37.18	-11.15	-38.71
-38.29	-39.82	38.11
-45.89	-31.34	37.4
53.53	-28.65	37.68
-25.22	-78.38	38.34
-30.54	-50.46	50.23

//Cappa et al. (1998) 
// Subjects=13
-50.67	-67.62	-6
57.51	-13.7	13.72
-52.48	-38.78	27.04

//Chao et al. (1999) 
// Subjects=14
-28.13	-53.38	-15.63
29.1	-50.09	-18.05
-47.25	-58.61	9.86
55.36	-55.16	6.65

//Chao et al. (1999) 
// Subjects=8
-26.93	-49.15	-4.87
29.2	-50.43	-10.18
-48.39	-56.9	5.23
44.47	-54.76	0.07

//Chao et al. (2000; Exp1) 
// Subjects=10
-32.76	-44.29	47.42
-44.04	10.07	20.94

//Chao et al. (2000; Exp2) 
// Subjects=10
-30.56	-35.25	52.09
-31.32	20.36	4.02
-52.66	6.95	22.52

//Chao et al. (2002) 
// Subjects=7
-25.83	-59.99	-6.05
24.96	-56.41	-5.03
-46.24	-57	4.08
-31.65	-44.08	49.62
-46.08	12.06	30.86

//Creem-Reghr et al. (2005) 
// Subjects=12
-39.64	-48.74	-17.18
-56.16	-63.53	26.84
-62.88	-43.31	7.28
-43.25	-64.82	32
23.02	-47.74	31.4

//Damasio et al. (1996) 
// Subjects=9
-52.93	-53.05	-10.76
-30.44	-30.41	-22.35
-33.99	-3.15	-40.67

//Grabowski et al. (1998) 
// Subjects=9
-46.52	25.21	-.69
-32.45	56.08	7.23
-54.78	15.97	27.26

//Grafton et al. (1997) 
// Subjects=8
19.67	31.98	22.17
-39.85	21.16	13.05
26.11	54.65	23.18

//Handy et al. (2003) 
// Subjects=14
55.67	-34.28	34.84
47.21	-38.38	48.83
-7.02	12.38	43.61
-45.89	14.58	46.3
-4.83	16.95	46.49
25.44	-.27	44.31
40.58	10.83	47.44
40.4	28.08	36.77
-60.17	11.7	27.78
-28.29	2.78	68.46

//Lewis et al. (2005) 
// Subjects=20
54.26	-52.08	5.25
-53.78	-59.05	5.53
-46.1	-34.07	19.74
53.29	-27.13	19.6
-51.73	36.42	16.22
-48.3	7.28	25.77
-40.35	-36.87	46.81
-57.81	-25.1	35.86
-28.39	-62.56	46.91

//Mahon et al. (2007) 
// Subjects=17
-23.73	-52.74	-9.05
23.7	-42.46	-16.48
-31.84	-83.8	26.66
-51.75	-64.33	-5.18
-59.96	-23.94	36.9
-15.36	-65.29	51.44
27.73	-62.78	41.49

//Mahon et al. (2010; sighted) 
// Subjects=20
-53.44	-34.56	37.84
-40.3	-46.34	48.87
-23.88	-57.8	63.17

//Martin et al. (1996) 
// Subjects=16
-29.17	-53.07	-12.28
37.81	-52.84	-13.45
-37.71	-50.15	-3.46
31.23	31.76	-3.78
-31.29	10.68	3.85
-37.69	2.57	9.25

//Noppeney et al. (2006) 
// Subjects=22
-24.86	-60.81	-14.95
-34.81	-36.26	-27.3
-53.87	-69.56	-3.51
-59.88	-26.62	42.77
-57.17	21.95	11.02
-50.88	40.19	-.97

//Okada et al. (2000) 
